is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,window,compression
True,0,10,,,,33,12,8
True,0,10,,,,44,13,7
True,0,10,,,,69,15,8
True,0,10,,,,103,18,6
True,0,10,,,,116,19,7
True,0,10,,,,119,19,10
True,0,10,,,,151,22,6
True,0,10,,,,154,22,9
True,0,10,,,,162,23,5
True,0,10,,,,177,24,8
True,0,15,"('window',)",24.0,,174,24,5
True,0,15,"('window',)",24.0,,176,24,7
True,0,15,"('window',)",24.0,,178,24,9
True,0,15,"('window',)",24.0,,179,24,10
True,0,15,"('window',)",24.0,,180,24,11
True,0,20,"('window',)",21.0,,143,21,10
True,0,20,"('window',)",23.0,,163,23,6
True,0,20,"('window',)",23.0,,164,23,7
True,0,20,"('window',)",23.0,,165,23,8
True,0,20,"('window',)",23.0,,168,23,11
True,0,25,"('window',)",13.0,,48,13,11
True,0,25,"('window',)",18.0,,102,18,5
True,0,25,"('window',)",18.0,,106,18,9
True,0,25,"('window',)",18.0,,107,18,10
True,0,25,"('window',)",18.0,,108,18,11
True,0,30,,,,72,15,11
True,0,30,,,,90,17,5
True,0,30,,,,95,17,10
True,0,30,,,,128,20,7
True,0,30,,,,129,20,8
True,0,35,"('window',)",10.0,,11,10,10
True,0,35,"('window',)",12.0,,32,12,7
True,0,35,"('window',)",12.0,,35,12,10
True,0,35,"('window',)",12.0,,36,12,11
True,0,35,"('window',)",13.0,,47,13,10
True,0,40,"('window',)",14.0,,60,14,11
True,0,40,"('window',)",16.0,,84,16,11
True,0,40,"('window',)",17.0,,96,17,11
True,0,40,"('window',)",20.0,,127,20,6
True,0,40,"('window',)",20.0,,130,20,9
True,0,45,"('compression',)",7.0,,68,15,7
True,0,45,"('compression',)",10.0,,71,15,10
True,0,45,"('compression',)",7.0,,80,16,7
True,0,45,"('compression',)",5.0,,114,19,5
True,0,45,"('compression',)",10.0,,155,22,10
True,0,50,"('compression',)",8.0,,45,13,8
True,0,50,"('compression',)",7.0,,56,14,7
True,0,50,"('compression',)",8.0,,57,14,8
True,0,50,"('compression',)",9.0,,94,17,9
True,0,50,"('compression',)",9.0,,118,19,9
True,0,55,"('compression',)",11.0,,12,10,11
True,0,55,"('compression',)",10.0,,59,14,10
True,0,55,"('compression',)",10.0,,83,16,10
True,0,55,"('compression',)",6.0,,115,19,6
True,0,55,"('compression',)",7.0,,152,22,7
True,0,60,,,,8,10,7
True,0,60,,,,9,10,8
True,0,60,,,,21,11,8
True,0,60,,,,140,21,7
True,0,60,,,,153,22,8
True,1,10,,,,9,10,8
True,1,10,,,,21,11,8
True,1,10,,,,33,12,8
True,1,10,,,,44,13,7
True,1,10,,,,56,14,7
True,1,10,,,,104,18,7
True,1,10,,,,151,22,6
True,1,10,,,,163,23,6
True,1,10,,,,164,23,7
True,1,10,,,,167,23,10
True,1,15,,,,20,11,7
True,1,15,,,,114,19,5
True,1,15,,,,132,20,11
True,1,15,,,,140,21,7
True,1,15,,,,155,22,10
True,1,20,"('window',)",13.0,,48,13,11
True,1,20,"('window',)",14.0,,59,14,10
True,1,20,"('window',)",16.0,,84,16,11
True,1,20,"('window',)",21.0,,138,21,5
True,1,20,"('window',)",21.0,,139,21,6
True,1,25,"('window',)",19.0,,115,19,6
True,1,25,"('window',)",19.0,,116,19,7
True,1,25,"('window',)",19.0,,120,19,11
True,1,25,"('compression',)",5.0,,150,22,5
True,1,25,"('compression',)",5.0,,174,24,5
True,1,30,"('window',)",13.0,,45,13,8
True,1,30,"('window',)",17.0,,92,17,7
True,1,30,"('window',)",24.0,,176,24,7
True,1,30,"('window',)",24.0,,178,24,9
True,1,30,"('window',)",24.0,,180,24,11
True,1,35,"('window',)",16.0,,83,16,10
True,1,35,"('window',)",17.0,,90,17,5
True,1,35,"('window',)",17.0,,91,17,6
True,1,35,"('window',)",17.0,,95,17,10
True,1,35,"('window',)",17.0,,96,17,11
True,1,40,"('compression',)",11.0,,72,15,11
True,1,40,"('window',)",18.0,,102,18,5
True,1,40,"('window',)",18.0,,103,18,6
True,1,40,"('compression',)",9.0,,166,23,9
True,1,40,"('compression',)",11.0,,168,23,11
True,1,45,"('window',)",11.0,,24,11,11
True,1,45,"('window',)",12.0,,32,12,7
True,1,45,"('window',)",12.0,,35,12,10
True,1,45,"('window',)",12.0,,36,12,11
True,1,45,"('window',)",20.0,,131,20,10
True,1,50,"('window',)",10.0,,8,10,7
True,1,50,"('window',)",10.0,,11,10,10
True,1,50,"('window',)",11.0,,23,11,10
True,1,50,"('window',)",19.0,,119,19,10
True,1,50,"('window',)",22.0,,156,22,11
True,1,55,,,,57,14,8
True,1,55,,,,69,15,8
True,1,55,,,,81,16,8
True,1,55,,,,128,20,7
True,1,55,,,,165,23,8
True,1,60,,,,60,14,11
True,1,60,,,,71,15,10
True,1,60,,,,105,18,8
True,1,60,,,,129,20,8
True,1,60,,,,162,23,5
True,2,10,,,,24,11,11
True,2,10,,,,48,13,11
True,2,10,,,,71,15,10
True,2,10,,,,96,17,11
True,2,10,,,,107,18,10
True,2,10,,,,115,19,6
True,2,10,,,,119,19,10
True,2,10,,,,126,20,5
True,2,10,,,,164,23,7
True,2,10,,,,167,23,10
True,2,15,"('window',)",20.0,,127,20,6
True,2,15,"('window',)",20.0,,128,20,7
True,2,15,"('window',)",20.0,,129,20,8
True,2,15,"('window',)",20.0,,130,20,9
True,2,15,"('window',)",20.0,,132,20,11
True,2,20,"('window',)",13.0,,47,13,10
True,2,20,"('window',)",14.0,,59,14,10
True,2,20,"('window',)",18.0,,102,18,5
True,2,20,"('window',)",18.0,,104,18,7
True,2,20,"('window',)",18.0,,105,18,8
True,2,25,"('window',)",13.0,,45,13,8
True,2,25,"('window',)",14.0,,57,14,8
True,2,25,"('window',)",14.0,,60,14,11
True,2,25,"('window',)",21.0,,144,21,11
